bulk modulus samples [N/mm^2],shear modulus samples [N/mm^2]
119096.414309549,70329.9881922097
120439.400859393,71577.4434382381
140831.811331937,76039.324968806
141150.871503277,73293.281760051
125349.834806179,73605.58086843
119756.620052799,73928.1085279061
123072.062220468,76377.4449649784
123103.033852866,71470.3123194011
119482.015387183,75488.7196630083
126740.017418731,74522.1544873542
147997.271220977,72552.1784097236
140652.295033235,72625.2450079251
124456.930109632,75208.3080250773
140678.908279901,74386.8829280234
140165.823596361,75126.0740197256
125514.343204066,73711.8701795043
156143.139473616,75359.5867208681
127141.950740011,77108.7096930723
108086.554635214,74510.0137972101
133503.343247255,73118.3615027172
112452.117771751,70467.4914918002
118218.723631999,75138.6044339643
164064.796438601,74353.9088721436
132816.958270769,73353.2076998745
130568.723746132,72079.8457130372
125533.841988959,73781.3969287355
129321.084848036,73573.3376370126
117475.690512174,74285.1824781174
165267.032820023,73783.0992608377
119530.714437585,71558.9557602233
107047.480672163,70677.2031824267
122754.949761069,72234.526910074
125628.07111172,72770.2833394618
140071.964531577,74685.864809899
127414.298539388,75319.1433900145
162465.711783948,74079.727264847
125018.897136865,76391.6673535156
140517.613034424,74574.6810590424
118670.456160562,74116.7064159538
150202.476763629,75542.0783835968
129414.925532974,74943.2035569732
116781.459439163,73187.2290080175
150370.109635199,71214.1611941393
141655.838071764,73350.6595038865
127665.026081788,75170.3922911878
137008.827816023,74465.3203035843
136754.936426385,75441.0688632856
116018.28509975,72837.119704424
135552.989855987,72811.8878482534
119986.875168387,72541.2411800139
131019.09243282,72194.0233952026
140712.304268369,75530.2854101556
142417.615877839,71968.5183796651
133174.296414067,71650.4117923512
122718.964294468,73475.4906344903
121817.73129691,75737.2011130957
126762.965014213,74381.7179792069
132993.731004504,77950.9478430429
124709.802721573,76269.9263749212
113179.776669434,72532.3972133705
149322.819488963,72634.2409279222
122291.024212671,73230.8688095048
138225.702807344,72693.0489805209
139741.363369321,76420.0435269693
146678.359820319,72853.7189155007
137152.260712725,76326.2393065591
145890.39858221,70389.8277954103
152109.514040428,73408.5193757008
128301.276362524,75140.7691220451
127484.550342666,73828.4584749521
137294.448005673,72013.2740149004
134712.239857051,73668.536729996
151422.074648566,75298.0131179553
119035.958685127,72320.684540666
155143.150960029,73640.8876219521
148286.322572474,73460.3996733114
139446.499749831,78643.2825578096
131669.054459421,73571.9749944719
138737.25346487,71911.7968798649
118841.669793568,74598.1555960222
123116.943784023,74974.7894663388
150350.989945668,73604.9787574613
141086.155412732,71509.5160055638
144640.402603231,75430.1922615244
139781.322028547,75113.6594119265
131067.1151165,76933.5231562554
117462.956915652,70474.0212231579
118441.769028175,73881.4238548969
131687.714261678,75878.2520291608
127769.04302422,70927.8781289217
140812.333136912,76650.6425540045
140862.966000341,74767.4161535913
129991.260578691,75887.1635820041
142557.237285621,74743.2949496492
131796.233605058,74165.5635985538
128519.235233567,72852.615448471
141640.609733014,74420.9765609614
122793.965131885,76075.0068635301
128830.741241368,75179.121884756
134062.20911281,74331.7457095362
119096.414309549,70329.9881922097
120439.400859393,71577.4434382381
140831.811331937,76039.324968806
141150.871503277,73293.281760051
125349.834806179,73605.58086843
122857.161967716,72767.1188822471
